Product_id,product_name,product_type,product_weight,product_weight_type,31-January-to-14-February,15-February-to-26-February,27-February-to-8-Mars,6-April-to-16-April,17-April-to-25-April,26-April-to-7-May,8-May-to-23-May,24-May-to-6-June,7-June-to-21-June,22-June-to-6-July,7-July-to-19-July,20-july-to-1-August,2-August-to-14-August,15-August-to-23-August,24-August-to-5-September,6-September-to-18-September,19-september-to-27-september,28-September-to-10-October,11-october-to-22-october,23-october-to-31-october,1-November-to-11-November,14-november-to-21-november,22-november-to-4-necember,5-december-to-17-december,1-December-to-3-December,1-January-to-15-January,16-January-to-23-January,24-January-to-30-January,31-january-to-6-february,7-February-to-14-February,15-February-to-28-February,1-March-to-15-March,15-march-to-26-march
6223000760369,البوادي حلاوة سبريد بالشوكولاتة والبندق - 300 جرام,بقالة,300,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000760383,البوادي حلاوة سبريد بالشيكولاتة - 160جرام,بقالة,160,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000762073,البوادي عسل أسود - 200جم,بقالة,200,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223009400464,الجوهرة شاي أخضر - 100 كيس,مشروبات,100,كيس,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224007250006,الخير ملح طعام يودي مكرر ناعم - 225 جرام,بقالة,225,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6210244856194,الدرة كاتشب - 500 جرام,بقالة,500,جم,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000055991,الرشيدي الميزان طحينة  700ج,بقالة,nan,NaN,0,0,0,0,5,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,10,0,0,0,25,0
6223007430531,الرشيدي الميزان عسل أسود - 700 جرام,بقالة,700,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224010414389,الزعيم عدس أصفر - 500 جرام,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224010414372,الزعيم عدس كامل - 500 جرام,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224010414402,الزعيم فشار - 500 جرام,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
